 AOU_Code,step,run,result,select,all_sca,
YBSA,4,yes,YBSA_step2_output_2025_11_15run1_allsca3,YBSA_step1_output_2025_10_04run1_3_7_SCA_SEL_PARS,new models,
BAWW,8,yes,BAWW_step2_output_2025_11_13run1_allsca1,BAWW_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS,new,models
BCCH,8,no,BCCH_step2_output_2025_11_13run1_allsca2,BCCH_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS,new,models
BHVI,8,yes,BHVI_step2_output_2025_11_14run1_allsca1,BHVI_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,new,models
BLBW,8,yes,BLBW_step2_output_2025_11_14run1_allsca1,BLBW_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,new,models
BRCR,8,yes,BRCR_step2_output_2025_11_14run1_allsca3,BRCR_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,new,models
BTBW,8,yes,BTBW_step2_output_2025_11_14run1_allsca2,BTBW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS,new,models
BTNW,8,yes,BTNW_step2_output_2025_11_14run1_allsca1,BTNW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS,new,models
DOWO,8,yes,DOWO_step2_output_2025_11_14run1_allsca1,DOWO_step1_output_2025_09_27run1_3_7_SCA_SEL_PARS,new,models
HAWO,8,yes,HAWO_step2_output_2025_11_14run1_allsca1,HAWO_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS,new,models
HETH,8,yes,HETH_step2_output_2025_11_14run1_allsca1,HETH_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS,new,models
OVEN,8,yes,OVEN_step2_output_2025_11_14run1_allsca3,OVEN_step1_output_2025_09_30run1_3_7_SCA_SEL_PARS,new,models
REVI,8,yes,REVI_step2_output_2025_11_14run1_allsca3,REVI_step1_output_2025_10_01run1_3_7_SCA_SEL_PARS,new,models
SCTA,8,yes,SCTA_step2_output_2025_11_14run1_allsca2,SCTA_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,new,models
VEER,8,yes,VEER_step2_output_2025_11_14run1_allsca3,VEER_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,new,models
WBNU,8,yes,WBNU_step2_output_2025_11_14run1_allsca2,WBNU_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,new,models
WOTH,8,yes,WOTH_step2_output_2025_11_14run1_allsca3,WOTH_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,new,models
YBSA,8,yes,YBSA_step2_output_2025_11_15run1_allsca3,YBSA_step1_output_2025_10_04run1_3_7_SCA_SEL_PARS,new,models
BAWW,9,yes,BAWW_step2_output_2025_11_11run1_allsca1.rds,BAWW_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS,,
BCCH,9,no,BCCH_step2_output_2025_11_11run1_allsca2.rds,BCCH_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS,,
BHVI,9,yes,BHVI_step2_output_2025_11_11run1_allsca3.rds,BHVI_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,,
